half_seconds	series1_bpm	series2_bpm	series3_bpm	series4_bpm
486	84.4015	100.632	55.2013	56.8668
487	83.8636	100.29	55.5173	56.4676
488	84.614	100.854	57.2537	55.9395
489	82.012	101.074	58.7614	56.7858
490	79.5961	100.946	57.6515	58.7852
491	80.9197	101.151	56.6038	59.5247
492	82.6967	101.735	56.5042	59.056
493	83.5211	101.718	56.3978	58.7173
494	83.0931	101.633	57.5616	58.4884
495	83.1381	101.955	59.0104	58.6504
496	82.847	101.767	57.9877	59.348
497	82.1639	101.224	56.3285	59.4819
498	81.9672	101.498	55.6421	58.7843
499	82.8698	102.041	55.1296	58.6057
500	84.281	101.746	55.6222	59.3033
501	85.252	101.633	57.1072	59.8416
502	87.4286	101.928	57.5017	60.0816
503	89.379	101.931	56.4252	59.7268
504	89.6429	101.633	55.508	58.2323
505	89.4782	101.743	54.4126	57.0416
506	88.5526	101.71	53.5714	56.1934
507	87.3399	101.365	54.2527	55.5738
508	86.5774	101.555	54.9396	55.7811
509	86.4999	101.476	56.2356	55.9701
510	86.9048	100.454	57.8329	57.4263
511	87.9264	99.2	57.4891	58.9687
512	89.9372	99.3421	56.6148	59.1616
513	92.1468	98.7097	56.8604	59.2783
514	92.7059	97.451	57.6224	58.0965
515	91.0494	97.1394	58.4822	56.7541
516	88.8935	95.6458	59.5246	56.8527
517	88.609	95.6348	59.2525	57.1767
518	87.8714	95.0514	57.8785	56.3425
519	86.2799	93.2661	57.0591	54.9893
520	86.402	92.9896	56.6286	55.2881
521	86.4541	91.2979	56.5287	56.8615
522	86.8316	91.8811	56.9592	57.736
523	88.0487	93.2204	56.9711	57.8473
524	89.2307	92.6499	55.7174	57.6039
525	88.3874	94.1279	54.7709	56.6314
526	86.6963	94.8972	55.5941	56.0259
527	86.5061	94.1038	56.391	56.3427
528	87.6658	93.508	57.3866	56.5744
529	88.9666	92.9348	58.488	56.0503
530	89.4717	92.9446	58.2079	55.5556
531	90	92.6327	57.7572	56.3155
532	89.759	92.4224	58.1312	57.1637
533	88.8782	92.9574	58.6968	56.9927
534	88.2456	93.1045	59.7994	56.6686
535	87.8337	91.9752	61.1254	56.3176
536	86.9268	92.1715	60.1677	55.8968
537	85.7276	93.6149	58.4998	55.9281
538	84.9399	93.5849	57.5101	56.2426
539	84.4506	93.8568	56.6358	56.1422
540	84.8591	93.8099	56.8421	55.5202
541	85.6838	93.0468	57.6041	54.9921
542	86.0937	92.5223	57.4094	54.3003
543	87.5128	91.8451	56.4369	53.7634
544	89.1146	91.184	55.6283	54.1513
545	90.1118	91.2928	54.719	54.5423
546	91.6609	91.8505	54.1831	54.4672
547	92.2972	92.1171	54.38	54.3684
548	91.818	93.2747	54.5455	54.3478
549	91.3039	93.6338	54.9319	54.3478
550	90.7051	93.2075	55.3345	54.4601
551	90.6616	93.985	55.7626	54.7587
552	90.6966	94.7098	56.2828	55.2088
553	89.9465	92.704	56.2513	56.5824
554	88.7994	91.3256	56.0408	57.8623
555	87.9546	92.6738	56.6523	59.3806
556	88.2832	93.1265	57.9641	60.3355
557	89.0664	92.555	57.9746	57.4436
558	89.2773	92.2427	56.6628	54.9451
559	89.0131	92.5267	55.64	54.5674
560	87.8902	92.4932	54.6333	54.1707
561	86.615	91.9286	54.0724	53.7291
562	86.2069	91.4634	55.1839	53.1551
563	86.8845	91.7751	56.1798	53.1376
564	87.7769	92.4133	55.0103	53.4215
565	88.0702	92.9538	53.8021	53.5056
566	87.934	93.1677	53.4151	53.2216
567	87.1143	93.7692	52.9418	53.0035
568	86.8784	94.6537	52.9477	53.4649
569	88.0322	94.9367	53.2297	53.9416
570	89.3186	94.9367	53.6157	54.3996
571	89.2497	95.4771	54.703	54.9947
572	88.2725	96.4853	55.4947	54.6454
573	87.5376	97.3077	54.4073	53.7623
574	86.2341	97.9101	53.3808	53.5671
575	86.1094	98.4211	53.3043	54.1495
576	87.4868	98.372	53.2097	54.5574
577	87.6115	98.5326	54.0745	54.6569
578	87.6402	98.9964	55.6743	54.7445
579	88.0294	98.8358	56.0844	56.1123
580	87.7412	98.7182	55.3615	57.5862
581	86.6045	99.045	54.8734	57.7868
582	86.7976	99.6344	54.5748	57.8981
583	88.4143	99.7351	54.3738	58.448
584	89.1041	99.6	55.1849	59.1347
585	88.49	99.9271	55.9701	60.3985
586	87.3907	100.4	54.8205	61.8746
587	86.9502	100.303	53.5258	60.6442
588	87.0238	100.301	53.2601	58.7068
589	86.7642	100.636	53.0714	57.5263
590	85.5504	100.671	53.2563	56.4333
591	84.0837	100.78	53.9284	58.427
592	83.8277	101.12	54.2507	58.427
593	85.1986	101.351	53.6725	58.427
594	86.8666	101.351	53.1915	58.427
595	88.1815	101.616	53.6293	58.427
596	88.5214	101.961	54.1094	63.4306
597	88.2604	101.897	55.4613	59.3333
598	88.2833	101.633	57.343	55.5556
599	88.5444	101.757	57.9151	57.1234
600	87.6964	101.677	57.9151	58.8731
601	86.0997	101.957	58.2297	59.8848
602	85.1549	102.651	58.7997	60.845
603	84.7458	102.552	59.5544	59.017
604	84.601	102.329	60.5147	56.8311
605	84.4511	102.516	59.769	57.6455
606	84.8366	102.74	57.5831	58.9878
607	84.4924	102.74	55.9076	60.3985
608	83.5455	102.146	54.2961	61.8746
609	83.3333	101.683	53.619	61.4168
610	83.9661	102.101	54.9137	60.4169
611	84.9048	102.114	55.8924	59.0888
612	85.5223	100.964	53.949	57.7039
613	86.5216	100.379	52.0833	58.8675
614	86.5116	100.357	53.2857	60.7441
615	85.1722	100.021	54.9193	60.6508
616	83.7017	100	56.4026	59.919
617	82.4889	99.8887	58.2549	58.6192
618	82.4781	99.6	58.6306	57.1478
619	83.5605	99.7113	57.8387	58.1984
620	84.4982	100	58.1461	60.2772
621	84.4787	100	59.6524	61.0622
622	83.9374	100.177	60.5407	61.1867
623	83.0309	100.513	60.6631	60.3409
624	83.0251	100.671	60.2078	59.1405
625	83.9511	100.671	59.1403	60.3783
626	84.2697	100.671	59.6862	62.6121
627	84.462	100.93	62.169	65.2474
